일본어,읽기,뜻,연도,페이지,분류,섹션,검수상태,관계그룹,원본표현,출처파일
～損ねる,,~할 기회를 놓치다; 잘못 ~하다,,145,복합어,,,,,~161.csv
受け損ねる,,받을 기회를 놓치다,,145,복합어,,,,,~161.csv
聞き損ねる,,잘못 듣다; 못 듣다,,145,복합어,,,,,~161.csv
乗り損ねる,,탈것을 놓치다,,145,복합어,,,,,~161.csv
～そびれる,,~할 기회를 놓치다,,145,복합어,,,,,~161.csv
行きそびれる,,갈 기회를 놓치다,,145,복합어,,,,,~161.csv
言いそびれる,,말할 기회를 놓치다,,145,복합어,,,,,~161.csv
あえて,,굳이; 감히,,145,유의어,,,,,~161.csv
強いて,,억지로; 굳이,,145,유의어,,,,,~161.csv
無理に,,무리하게,,145,유의어,,,,,~161.csv
商い,,장사; 영업,,145,유의어,,,,,~161.csv
商売,,장사; 상업,,145,유의어,,,,,~161.csv
あさましい,,비열하다; 치사하다; 한심하다,,145,유의어,,,,,~161.csv
卑劣だ,,비열하다,,145,유의어,,,,,~161.csv
欺く,,속이다; 기만하다,,146,유의어,,,,,~161.csv
だます,,속이다,,146,유의어,,,,,~161.csv
アシスタント,,조수; 보조자,,146,외래어,,,,,~161.csv
あたかも,,마치; 꼭,,146,유의어,,,,,~161.csv
まるで,,마치; 전혀,,146,유의어,,,,,~161.csv
アタック,,공격; 도전,,146,외래어,,,,,~161.csv
アチーブメント,,달성; 성취,,146,외래어,,,,,~161.csv
アプローチ,,접근; 접근법,,146,외래어,,,,,~161.csv
あべこべ,,반대; 거꾸로,,146,유의어,,,,,~161.csv
逆さま,,거꾸로,,146,유의어,,,,,~161.csv
あまねく,,널리; 빠짐없이,,146,유의어,,,,,~161.csv
あいまい,,애매함; 불명확함,,146,유의어,,,,,~161.csv
あやふや,,불확실함; 모호함,,146,유의어,,,,,~161.csv
あわただしい,,분주하다; 부산하다,,146,유의어,,,,,~161.csv
安易,,안이함; 손쉬움,,146,유의어,,,,,~161.csv
いいかげん,,적당히; 무책임하게; 엉터리로,,146,유의어,,,,,~161.csv
でたらめ,,엉터리; 터무니없음,,146,유의어,,,,,~161.csv
ぞんざい,,거칠고 소홀함,,146,유의어,,,,,~161.csv
いかに,,어떻게; 얼마나,,146,유의어,,,,,~161.csv
どのように,,어떻게,,146,유의어,,,,,~161.csv
どんなに,,아무리; 얼마나,,146,유의어,,,,,~161.csv
どれほど,,얼마나; 어느 정도,,146,유의어,,,,,~161.csv
いきさつ,,경위; 자초지종,,146,유의어,,,,,~161.csv
一切,,일절; 전혀,,146,유의어,,,,,~161.csv
少しも,,조금도,,146,유의어,,,,,~161.csv
いっそ,,차라리,,146,유의어,,,,,~161.csv
むしろ,,오히려; 차라리,,146,유의어,,,,,~161.csv
かえって,,오히려; 도리어,,146,유의어,,,,,~161.csv
ごまかす,,속이다; 얼버무리다,,146,유의어,,,,,~161.csv
挑む,,도전하다; 맞서다,,146,유의어,,,,,~161.csv
チャレンジする,,도전하다,,146,유의어,,,,,~161.csv
